Ticker,PE_Ratio,PB_Ratio,Market_Cap,Dividend_Yield,Forward_PE,PEG_Ratio,EPS,Debt_To_Equity,ROE,Sector,Industry,PE_Percentile,Valuation_Category
ADANIENT,52.218193,4.832029,4304494657536,0.04,44.890182,,57.93,119.56,,Energy,Thermal Coal,77.55102040816327,Correctly Valued
ADANIPORTS,29.457268,4.0137334,3851528175616,0.44,21.390465,,56.75,64.051,,Industrials,Marine Shipping,51.02040816326531,Correctly Valued
APOLLOHOSP,66.24668,13.633677,1292767854592,0.22,41.949673,,135.72,85.146,0.21503,Healthcare,Medical Care Facilities,87.75510204081633,Overvalued
ASIANPAINT,55.32729,12.329056,2633395863552,1.0,45.731014,,49.65,17.847,,Basic Materials,Specialty Chemicals,79.59183673469387,Correctly Valued
AXISBANK,13.91014,1.7129191,3824177905664,0.08,9.716206,0.54,88.36,,0.13352999,Financial Services,Banks - Regional,12.244897959183673,Undervalued
BAJAJ-AUTO,27.405857,8.297417,3165332176896,1.32,24.412956,1.31,420.64,56.352,,Consumer Cyclical,Auto Manufacturers,44.89795918367347,Correctly Valued
BAJFINANCE,37.027912,6.1497426,7010655928320,0.51,22.498837,,30.45,314.833,0.17907,Financial Services,Credit Services,61.224489795918366,Correctly Valued
BAJAJFINSV,32.719673,4.0953975,3190911926272,0.07,21.561655,,61.0,256.404,0.14602,Financial Services,Financial Conglomerates,57.14285714285714,Correctly Valued
BHARTIARTL,43.957867,8.01291,12236504432640,1.23,23.966509,,44.62,99.718,0.19358999,Communication Services,Telecom Services,71.42857142857143,Correctly Valued
BEL,46.395206,11.804856,2831808200704,1.12,34.188877,,8.35,0.273,,Industrials,Aerospace & Defense,73.46938775510205,Correctly Valued
CIPLA,35.143814,3.4397411,1184462798848,0.88,23.067726,,41.72,1.778,,Healthcare,Drug Manufacturers - Specialty & Generic,59.183673469387756,Correctly Valued
COALINDIA,8.025856,2.1360204,2544282370048,5.12,7.263527,0.87,51.44,11.629,,Energy,Thermal Coal,4.081632653061225,Undervalued
DRREDDY,28.925787,2.4979036,957783539712,0.7,19.31156,1.59,39.75,18.605,0.088369995,Healthcare,Drug Manufacturers - Specialty & Generic,48.97959183673469,Correctly Valued
EICHERMOT,37.461315,8.598766,2159936667648,1.05,29.06348,,210.03,2.048,,Consumer Cyclical,Auto Manufacturers,63.26530612244898,Correctly Valued
GRASIM,42.692726,2.0474114,2118454476800,0.32,21.271143,,73.16,135.044,0.06287,Basic Materials,Building Materials,69.38775510204081,Correctly Valued
HCLTECH,20.746983,4.8926396,3629786071040,4.46,16.747528,2.39,64.66,7.058,0.24067,Technology,Information Technology Services,36.734693877551024,Correctly Valued
HDFCBANK,16.290428,1.9057269,11561468952576,1.74,11.988818,0.89,46.07,,0.13838,Financial Services,Banks - Regional,22.448979591836736,Correctly Valued
HDFCLIFE,61.15213,6.0356817,1187396976640,0.38,45.489456,,8.94,15.842,0.108009994,Financial Services,Insurance - Life,83.6734693877551,Overvalued
HEROMOTOCO,18.121712,4.9764137,1075479576576,3.59,16.984816,,296.6,3.57,0.28027,Consumer Cyclical,Auto Manufacturers,28.57142857142857,Correctly Valued
HINDUNILVR,46.81737,10.133728,4939076075520,2.08,39.529797,3.69,44.9,3.016,,Consumer Defensive,Household & Personal Products,75.51020408163265,Correctly Valued
HINDALCO,16.209398,1.5977987,2182321930240,0.52,9.283593,,60.65,72.598,0.10288,Basic Materials,Aluminum,20.408163265306122,Correctly Valued
ICICIBANK,18.553516,2.7061882,10295805214720,0.83,15.26915,0.53,77.36,,0.16073999,Financial Services,Banks - Regional,32.6530612244898,Correctly Valued
INDUSINDBK,58.7184,1.1831431,778197794816,0.15,12.711419,0.72,17.01,,,Financial Services,Banks - Regional,81.63265306122449,Overvalued
INFY,14.607146,4.986447,4585549725696,4.33,14.163308,2.05,77.51,9.541,0.32,Technology,Information Technology Services,18.367346938775512,Undervalued
ITC,17.033897,4.862707,3525792235520,5.59,15.946007,1.78,16.52,3.293,0.2934,Consumer Defensive,Tobacco,24.489795918367346,Correctly Valued
JSWSTEEL,12.566897,3.0933318,3095160422400,0.56,17.403706,,100.9,95.374,,Basic Materials,Steel,10.204081632653061,Undervalued
KOTAKBANK,19.121256,2.137749,3874148319232,0.17,15.244618,0.94,20.37,,,Financial Services,Banks - Regional,34.69387755102041,Correctly Valued
LT,32.455124,4.938513,5398210805760,0.97,21.76763,1.06,120.89,97.64,,Industrials,Engineering & Construction,55.10204081632652,Correctly Valued
M&M,22.537647,4.114282,4115372441600,1.02,21.487932,1.26,152.07,125.278,0.18754,Consumer Cyclical,Auto Manufacturers,40.816326530612244,Correctly Valued
MARUTI,29.934778,4.1745553,4473319587840,1.0,23.000122,0.77,475.3,0.096,0.14434,Consumer Cyclical,Auto Manufacturers,53.06122448979592,Correctly Valued
