Company,Date,Sentiment_Mean,Sentiment_Count,Sentiment_Positive,Sentiment_Neutral,Sentiment_Negative,Ticker
Adani Enterprises Ltd.,2014-06-17,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2014-07-28,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2014-07-29,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2014-08-26,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2014-11-17,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2015-01-11,0.0,4,0,4,0,ADANIENT
Adani Enterprises Ltd.,2015-01-15,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2015-03-14,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2015-06-16,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2015-06-23,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2015-06-24,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2015-08-05,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2015-08-07,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2015-08-18,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2015-08-19,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2015-10-15,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2015-10-20,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2015-12-08,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2015-12-09,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2016-02-26,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2016-04-04,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2016-05-06,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2016-05-20,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2016-05-28,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2016-06-10,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2016-07-19,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2016-08-29,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2016-09-01,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2016-09-04,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2016-09-23,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2016-11-17,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2016-11-25,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2016-11-26,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2016-12-05,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2017-01-26,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2017-02-14,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2017-03-16,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2017-03-22,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2017-04-05,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2017-05-31,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2017-06-06,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2017-06-23,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2017-06-27,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2017-07-01,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2017-07-07,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2017-07-15,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2017-08-15,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2017-08-19,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2017-08-20,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2017-08-21,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2017-08-25,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2017-09-05,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2017-10-07,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2017-10-18,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2017-11-30,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2018-02-04,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2018-02-05,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2018-03-11,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2018-04-18,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2018-04-26,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2018-07-08,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2018-08-02,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2018-08-17,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2018-08-22,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2018-09-23,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2018-12-08,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2019-01-10,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2019-01-20,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2019-02-08,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2019-03-15,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2019-05-01,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2019-05-23,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2019-05-30,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2019-06-09,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2019-06-13,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2019-06-14,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2019-06-15,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2019-06-17,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2019-06-22,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2019-07-09,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2019-07-10,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2019-07-12,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2019-07-22,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2019-08-29,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2019-08-31,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2019-09-09,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2019-09-15,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2019-10-11,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2019-10-22,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2019-11-28,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2019-12-11,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2019-12-19,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2020-01-11,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2020-01-13,1.0,3,3,0,0,ADANIENT
Adani Enterprises Ltd.,2020-01-21,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2020-01-28,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2020-05-22,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2020-06-09,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2020-06-13,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2020-06-30,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2020-08-24,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2020-10-28,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2020-10-29,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2020-12-17,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2020-12-30,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2021-03-30,1.0,3,3,0,0,ADANIENT
Adani Enterprises Ltd.,2021-04-07,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2021-04-13,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2021-04-14,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2021-06-14,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2021-06-18,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2021-07-23,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2021-10-02,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2021-10-03,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2021-10-12,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2021-10-20,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2022-03-01,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2022-04-25,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2022-05-20,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2022-07-14,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2022-07-19,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2022-08-23,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2022-08-24,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2022-08-27,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2022-08-30,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2022-08-31,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2022-09-03,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2022-09-16,1.0,5,5,0,0,ADANIENT
Adani Enterprises Ltd.,2022-09-21,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2022-09-27,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2022-11-23,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2022-11-28,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2022-11-30,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2022-12-02,1.0,1,1,0,0,ADANIENT
Adani Enterprises Ltd.,2023-01-08,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2023-01-24,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2023-01-25,1.0,5,5,0,0,ADANIENT
Adani Enterprises Ltd.,2023-01-26,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2023-01-27,1.0,8,8,0,0,ADANIENT
Adani Enterprises Ltd.,2023-01-29,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2023-01-30,-1.0,8,0,0,8,ADANIENT
Adani Enterprises Ltd.,2023-01-31,-1.0,7,0,0,7,ADANIENT
Adani Enterprises Ltd.,2023-02-01,1.0,4,4,0,0,ADANIENT
Adani Enterprises Ltd.,2023-02-02,0.0,7,0,7,0,ADANIENT
Adani Enterprises Ltd.,2023-02-03,1.0,4,4,0,0,ADANIENT
Adani Enterprises Ltd.,2023-02-05,0.0,3,0,3,0,ADANIENT
Adani Enterprises Ltd.,2023-02-06,1.0,3,3,0,0,ADANIENT
Adani Enterprises Ltd.,2023-02-07,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2023-02-08,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2023-02-09,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2023-02-14,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2023-02-15,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2023-02-17,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2023-02-21,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2023-02-23,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2023-02-27,1.0,4,4,0,0,ADANIENT
Adani Enterprises Ltd.,2023-02-28,1.0,4,4,0,0,ADANIENT
Adani Enterprises Ltd.,2023-03-03,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2023-03-05,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2023-03-06,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2023-03-07,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2023-03-08,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2023-03-09,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2023-05-03,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2023-05-04,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2023-05-16,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2023-05-21,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2023-05-23,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2023-06-15,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2023-06-19,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2023-06-23,0.0,4,0,4,0,ADANIENT
Adani Enterprises Ltd.,2023-06-26,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2023-06-28,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2023-08-09,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2023-08-10,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2023-08-17,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2023-08-31,0.0,4,0,4,0,ADANIENT
Adani Enterprises Ltd.,2023-09-11,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2023-10-03,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2023-10-06,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2023-10-11,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2023-10-12,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2023-10-29,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2023-11-01,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2023-11-02,0.0,8,0,8,0,ADANIENT
Adani Enterprises Ltd.,2023-11-03,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2023-11-08,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2023-11-16,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2023-11-22,1.0,4,4,0,0,ADANIENT
Adani Enterprises Ltd.,2023-11-28,-1.0,6,0,0,6,ADANIENT
Adani Enterprises Ltd.,2023-11-29,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2024-01-06,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2024-01-10,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2024-01-24,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2024-02-04,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2024-02-29,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2024-03-03,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2024-03-18,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2024-04-01,-1.0,4,0,0,4,ADANIENT
Adani Enterprises Ltd.,2024-05-14,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2024-06-05,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2024-06-21,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2024-07-02,-1.0,4,0,0,4,ADANIENT
Adani Enterprises Ltd.,2024-07-04,-1.0,2,0,0,2,ADANIENT
Adani Enterprises Ltd.,2024-07-30,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2024-08-06,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2024-08-07,0.0,3,0,3,0,ADANIENT
Adani Enterprises Ltd.,2024-08-08,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2024-08-09,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2024-08-12,-1.0,4,0,0,4,ADANIENT
Adani Enterprises Ltd.,2024-08-17,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2024-08-24,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2024-08-25,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2024-08-28,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2024-09-12,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2024-09-17,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2024-10-28,1.0,3,3,0,0,ADANIENT
Adani Enterprises Ltd.,2024-10-29,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2024-10-30,0.0,3,0,3,0,ADANIENT
Adani Enterprises Ltd.,2024-11-04,1.0,2,2,0,0,ADANIENT
Adani Enterprises Ltd.,2024-11-05,-1.0,1,0,0,1,ADANIENT
Adani Enterprises Ltd.,2024-11-07,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2024-11-08,-1.0,4,0,0,4,ADANIENT
Adani Enterprises Ltd.,2024-11-13,0.0,3,0,3,0,ADANIENT
Adani Enterprises Ltd.,2024-11-14,0.0,2,0,2,0,ADANIENT
Adani Enterprises Ltd.,2024-11-15,0.0,1,0,1,0,ADANIENT
Adani Enterprises Ltd.,2024-11-20,0.5789473684210527,19,11,8,0,ADANIENT
